frase	duracao_media	total_classificacoes	classificacao_majoritaria	total_positiva	total_negativa	total_neutra
Imaginem uma menina de 14 anos alta, e sem peito, bunda, cochas longas e finas, com certeza ficaria uma merda.	4.5556	5	negativa	0	5	0
Indiretas afetam o meu mau humor e só faz vc ser mais repugnante pra mim.	6.2774	5	negativa	0	5	0
Ir pra casa do melhor amigo/irmão só pra ver tv , e tomar banho na piscina de 1000 litros dele.	6.037166666666667	6	positiva	5	0	1
Isso aconteceu na noite de 4º feira, e no domingo estava fazendo o almoço e meu marido estava vendo futebol com meu filho.	7.709599999999999	5	neutra	0	0	5
Isso é tudo que tive a coragem de sonhar, na esperança de um dia ver esta minha pretensão realizada.	21.90525	4	empate	2	0	2
Ja estou no limite para chegar a cima do peso.	6.795399999999999	5	negativa	0	4	1
Joguei os móveis, os pôsteres, a cor, joguei fora tudo aquilo que não precisava.	8.1106	5	positiva	3	1	1
Ju e Geovana ficaram menos mandonas, o que melhorou o nosso relacionamento.	16.9366	5	empate	2	1	2
Já basta, não aguentando mais, eu discuti com minha tia hoje com minha mãe e estou chorando e parece que estou sozinha de novo e como sempre fiquei.	10.6844	5	negativa	0	5	0
Já comecei mal o dia.	2.5276	5	negativa	1	3	1
Já esqueço totalmente de onde estou, e deixo de me importar com as pessoas ao redor, quando estou com ele, é como se só existisse nós dois ali.	7.023	4	positiva	3	0	1
Já estávamos namorando há 2 meses.	1.9933333333333334	6	neutra	1	0	5
Já falei algumas coisas pra ela, mas é complicado falar do namorado alheio né?	13.353399999999999	5	neutra	0	2	3
Já fiz e sofri coisas que me fazem sentir um lixo, passei por situações que não se pode desejar nem ao seu pior inimigo, hoje não vou dar detalhes, mas com o decorrer do tempo falarei sobre isso.	8.1046	5	negativa	0	5	0
Já haviamos marcado por celular no domingo. 	2.48425	4	neutra	0	0	4
Já li metade do livro e deu pra perceber que é totalmente diferente do que eu pensei.	71.92399999999999	4	neutra	0	0	4
Já me fiz essa pergunta e voltei três vezes e hoje o sofrimento é mil vezes maior.	102.63	5	negativa	0	5	0
Já não bastava o fato de ter um bandido em casa , ele não deixava mais minha mãe falar comigo ele não desgrudava dela.	10.871199999999998	5	negativa	0	4	1
Já pensou como as coisas seriam mais fáceis se parássemos de construir cercas e muros e passássemos a construir pontes com nossos familiares, amigos, colegas do trabalho e principalmente nossos inimigos.	6.36575	4	positiva	4	0	0
Já perdi as contas de quantos modos eu já tentei descobri a verdade.	8.1005	4	negativa	0	4	0
Já saímos, e esta é terceira vez ao qual vou relatar.	4.47	5	neutra	0	0	5
Já são mais de 5 anos que sofro deste mal, perdi muito e venho perdendo cada dia mais, hoje foi um daqueles dias em que pensei em suicídio, mas novamente decidi continuar tentando.	24.107400000000002	5	negativa	0	5	0
Já tinha amado alguém que nunca me amou, fiz de tudo pela minha ex, e de um dia para o outro ela me deixou, dói de mais amar e ter que viver de migalhas, e nesta minha vida curta já sofri demais, então por que não corresponder a Helen?	20.624000000000002	5	negativa	0	5	0
Já to acostumada ficar dias longe.	3.6626666666666665	6	negativa	1	4	1
Lembra daquele natal que eu passei sozinha?	4.5363999999999995	5	neutra	0	2	3
Lembro do sorriso que você abria quando me via, das explicações que você dava quando não conseguia telefonar.	10.20475	4	positiva	3	0	1
Lembro somente de ouvir o telefone ser desligado, sabia que tinha perdido minha família naquele momento.	5.473166666666667	6	negativa	0	5	1
Levantamos e fomos comprar cerveja para a minha mãe.	3.725	5	neutra	0	0	5
Logo naquela hora senti aquele corpo quente uma sensação boa e ela estava muito bonita.	4.436833333333333	6	positiva	6	0	0
Luana minha amiga me levou pra um culto evangélico para o pastor falar comigo, eu liguei pro meu namorado na época pra ir comigo.	4.7067499999999995	4	empate	0	2	2
Lá consegui me reaproximar da minha família e fazer com que a Helena se aproximasse também.	4.404	6	positiva	6	0	0
Lógico, voltei de viagem porque gostaria de saber como esta, trouxe noticias desagradáveis sobre sua tia.	10.369666666666667	6	negativa	0	6	0
Mais dor inútil, nenhuma dor que me ajude crescer ou amadurecer.	4.9794	5	negativa	1	4	0
Mais eu queria voltar mesmo assim, entao voltamos.	5.933166666666666	6	neutra	2	1	3
Mais uma vez eu to aqui me lamentando, eu estou arrasada, meu marido ele mentiu pra mim, ele criou um perfil no facebook escondido de mim, adicionou várias mulheres, inclusive ex-namoradas.	7.219200000000001	5	negativa	0	5	0
Mal começamos e os problemas financeiros começaram.	2.4216	5	negativa	1	3	1
Mamãe ficou orgulhosa de mim e disse que eu sou um anjo.	2.9256666666666664	6	positiva	6	0	0
Mandei um e-mail para o meu colega na quarta feira passada, dizendo que se ele estivesse disponível eu estava precisando conversar.	2.92375	4	positiva	4	0	0
Marcamos e lá estava ela me esperando no estacionamento.	17.612750000000002	4	neutra	0	0	4
Mas a questão é, demonstrar interesse por outra pessoa, transparecer que esta reparando, encarando?	6.4716000000000005	5	neutra	0	2	3
Mas a sensação de alguém por perto era suficiente pra mim.	4.105166666666666	6	positiva	6	0	0
Mas acho que é porque estou chegando na adolescência e todos ficam assim nessa fase da vida.	5.3455	6	neutra	0	2	4
Mas agora antes de terminar, estou me sentindo estranho, acho que acabei gostando dela, do jeito dela de cuidar de mim, de querer que eu esteja sempre com ela, o jeito dela de sentir ciúmes, e de sempre querer eu perto dela, de sempre dizer que esta com saudade, de ela não se importar de nas folgas dela passar comigo trancada em um quarto conversando, para ser sincero , vou sentir falta dela.	15.1785	4	negativa	1	2	1
Mas apesar de todas essas coisas, às vezes esqueço de tudo que to passando e me sinto tão bem.	7.776	4	empate	2	2	0
Mas aí ela começou a falar que eu gostava dele e por fim, elogiou os olhos verdes.	4.2532499999999995	4	positiva	4	0	0
Mas como tudo tem seu lado positivo, eu acredito que essa experiência vai servir pros meus próximos relacionamentos.	4.5648333333333335	6	positiva	6	0	0
Mas dessa vez acabou tudo bem, depois de tanta dor e tanto sofrimento pelas circunstâncias, tudo acabou, bem.	7.6728000000000005	5	positiva	4	1	0
Mas dessa vez até que foi legal, conversamos bastante, acho que ele entendeu meu lado.	3.2255000000000003	6	positiva	6	0	0
Mas ela é muito especial ela é a minha melhor amiga.	3.2336666666666667	6	positiva	6	0	0
Mas ele me deixou como segunda opção.	2.3685	6	negativa	0	5	1
Mas ele é lindo, aquele sorriso, a forma como fala comigo é muito fofo.	2.887166666666667	6	positiva	6	0	0
Mas enfim, sexo é sexo, e isso me relaxa.	3.2182500000000003	4	positiva	3	0	1
Mas entre ser sua amiga ou uma conhecida eu prefiro mil vezes ser sua amiga sinto falta de nossos papos, risadas, brincadeiras enfim sinto falta de vc na minha vida!	30.68175	4	positiva	4	0	0
Mas então as 5 da manha eu acordo com a minha mãe gritando e pedindo socorro , ele tinha entrado dentro de casa e tava tentando matar ela.	7.726400000000001	5	negativa	0	5	0
Mas estas pessoas são só inúmeros mortais que falam o que da na telha, literalmente, eles não sabem nada sobre mim, e muito menos, sobre o que eu penso.	9.801199999999998	5	empate	2	2	1
Mas eu acho que nem na de remanescentes eu vou estar.	3.96725	4	empate	0	2	2
Mas eu ainda assim, sei que se eu simplesmente fosse brincar com você, como sempre, você esqueceria de tudo, e me animaria, como você sempre fez.	9.11825	4	positiva	3	0	1
Mas eu ainda estava em êxtase.	7.683	4	neutra	0	0	4
Mas eu só tenho esse jeito de expressar o que eu sinto.	3.612	4	negativa	0	3	1
Mas foi em uma semana, muito bem planejada por mim, que enfim ocorreu o nosso encontro dos sonhos.	4.844333333333333	6	positiva	5	0	1
Mas foi tranquilo. Deitei e dormi feito um bebê, das duas vezes que eu tomei.	7.5702	5	empate	2	1	2
Mas há algo nela que min incomodava muito, seu modo de ver a vida, era vulgar, pensava apenas em festas, sair beber, curtir, como se isso estivesse em primeiro lugar nos objetivos dela.	5.261	4	negativa	0	4	0
Mas infelizmente não tenho ela, e continuo viva, então tenho que viver, mesmo sem ela.	7.0169999999999995	6	negativa	2	3	1
Mas isso não me impediu de tirar um 10 na prova de matemática que, vamos combinar, estava super fácil.	5.5138	5	positiva	4	0	1
Mas isso, a partir de hoje vai mudar, porque a partir de hoje eu vou empenhar-me ao máximo, e vou conseguir fazer uma dieta saudável para emagrecer.	6.393400000000001	5	positiva	5	0	0
Mas lembro perfeitamente em que ele me contou que gostava muito de mim.	2.84025	4	positiva	4	0	0
Mas meu marido é Materialista, Mal Humorado, digo quase Bi POLAR, um bom pai sim, mas não um bom marido.	6.29875	4	negativa	0	4	0
Mas milagres existem, perguntei a ela.	18.965	4	empate	2	0	2
Mas mãe, por favor, não abra mão de mim assim.	3.386	4	negativa	1	2	1
Mas nos últimos tempos, vem acontecido coisas estranhas comigo.	3.7025999999999994	5	negativa	0	3	2
Mas não foi o que aconteceu e hoje em dia nem amigos somos mais uma amizade de mais de cinco anos acabou assim.	4.73725	4	positiva	4	0	0
Mas não teria outro modo de escrever algo que sinto sem tentar explicar ou dar motivos mesmo que amar isente qualquer tipo de explicação e não requer motivos para acontecer.	14.156	6	empate	3	0	3
Mas não é por isso se sente necessidade de viver anunciando suas qualidades.	7.544499999999999	4	positiva	4	0	0
Mas realmente achei que daria tudo certo, que ao abrir meu coração você ia, sei lá, dizer que sentia o mesmo, juro que pensei que ia ser assim.	15.606749999999998	4	negativa	0	4	0
Mas sabe, é estranho pensar que isso seja natural, eu me sinto completamente mal por ele demonstrar interesse por outras, considero falta de respeito.	4.57225	4	positiva	3	0	1
Mas saiba que eu sinto muito a sua falta, sinto falta do teu sorriso.	4.3105	4	negativa	1	2	1
Mas sigo lutando, luto desde o dia em que desisti de me matar jogando-me da laje sobre um bambu as duas e tantas da madrugada de uma noite estrelada.	8.412	4	empate	2	0	2
Mas também não adianta tu querer colocar um decote, e um short enfiado no cú , garotas desse tipo só são vistas como objeto sexual.	9.6332	5	negativa	0	4	1
Mas também tive uma alegria enorme fiz uma nova amiga, alguém que me pareceu ser muito especial e que tem muito para me ensinar.	9.324833333333334	6	positiva	6	0	0
Mas tem hora que parece que vou explodir de tanto amor.	4.626	6	positiva	5	1	0
Mas tivemos um namoro perfeito, era de dar inveja a todos.	2.53825	4	positiva	4	0	0
Mas tudo bem, agora eu percebi que nunca precisei de você para nada pois até quando eu sentia falta de você e eu chorava.	24.336599999999997	5	empate	2	2	1
Mas ultimamente não estou aguentando, é como se eu tivesse precisando de algo a mais sabe, ou melhor, eu preciso, preciso de você.	6.5135000000000005	6	negativa	2	4	0
Mas uma coisa é certa, te amo muito e mesmo querendo te esquecer, te amo cada vez mais, hoje mais do que ontem, amanhã mais do que nunca.	6.140000000000001	6	positiva	6	0	0
Mas uma hora eu vou ter que aprender a conviver com isso.	8.223600000000001	5	negativa	0	3	2
Mas é inevitável perceber a tristeza no olhar deles.	8.1005	4	negativa	0	4	0
Mas é só você que me faz bem.	6.631	5	positiva	4	0	1
Mas, nem dei chega pra lá nele não, até mesmo porque ele nem pediu nada pra mim, só me tratou dessa forma, puxando meu saco.	7.792000000000001	4	neutra	0	0	4
Mas, o maior deles, é o ódio.	3.3528	5	negativa	0	5	0
Me acariciava com tanta vontade, com tanto tesão.	2.0625	4	positiva	4	0	0
Me amou sempre quando eu mais precisei, sempre me apoiou.	17.5636	5	positiva	5	0	0
Me bati muito, e mordi a mim mesma 3 vezes.	3.3906	5	negativa	0	5	0
Me desculpa por não ter cuidado direito de ti, pequeno.	6.24925	4	empate	0	2	2
Me desculpe, mas eu nunca serei perfeita e isso, acredite, dói mais em mim do que em você.	3.6159999999999997	4	negativa	0	4	0
Me encontro vazia, sem esperança e depois de tudo o que eu te fiz, sem coragem pra pedir que fique comigo. 	4.508	6	negativa	0	6	0
Me imagino em paz comigo mesma, com tudo que eu tiver feito da minha vida.	5.606000000000001	6	positiva	6	0	0
Me imagino passando perto da casa dos meus pais e deixando um pão quentinho a tarde.	3.8177999999999996	5	positiva	5	0	0
Me imagino pensando em filhos, afinal tenho um sonho: adotar.	5.2152	5	positiva	4	0	1
Me imagino visitando minha família nos fim de semanas e ouvindo as besteiras que meu pai fala e sempre vai falar.	10.476	4	neutra	1	0	3
Me lembro que eu comia muito na escola, para não ter que comer em casa, e tomava banho escondido, era muito triste.	4.28875	4	positiva	4	0	0
Me perdoa, eu cometi erros imperdoáveis, assim como já perdoei, eu cometi deslizes exagerados, e não foi a primeira vez, eu menti por medo da sua reação, por medo de que você me abandonasse, lutei tanto ao lado desse medo, que de nada me adiantou, o medo só fez com que eu te perdesse.	11.8478	5	negativa	0	5	0
Me prendo a memórias por que muitas delas não voltam, muitas pessoas mudaram, mas as memórias não.	3.02625	4	positiva	4	0	0
Me refugiei dentro da umbanda com meus guias e guias dos outros.	3.8508333333333336	6	empate	3	0	3
Me senti a pessoa mais sem chão do mundo.	2.5622	5	negativa	0	5	0
Me sinto fraca pra lutar por tudo o que eu quero, e as pessoas sempre nos decepcionando.	3.9813333333333336	6	negativa	0	6	0
Me sinto segura perto dele, ele é um fofo e me faz sentir super bem, amo pegar nos seus cabelos , amo segurar a sua mão e vê-lo desenhar .	3.6382	5	positiva	4	0	1
Me sinto super mal de todo mundo apresentar bem e eu apresentar mal.	4.3118	5	negativa	0	4	1
Mesmo assim continuo cometendo os mesmos erros, como se alguma coisa me puxasse, para o fundo do poço ,para um beco sem saída, sinto falta de carinho, de me arrumar, de sair ,de ter amigos pra conversar ,sinto falta de ser alguém, de ser lembrada, de ser amada, me sinto perdida.	5.638	4	negativa	0	4	0
Mesmo assim, naquela hora te procurei.	3.6013999999999995	5	neutra	0	0	5
Mesmo quando esse alguém, te dá provas do quanto ele não está interessado, você continua arrumando meios de reverter isso.	12.270199999999999	5	empate	2	2	1
Meu Deus estou muito ansiosa eu imagino toda hora eu e meu amado juntos.	7.748	6	positiva	5	0	1
Meu Deus, por isso ta tão vermelha acho que esta com febre, mas pq não vai ao convenio?	9.192	5	neutra	1	1	3
Meu amor e eu, nascemos um para o outro. Só falta quem nos apresentem.	8.051499999999999	4	neutra	0	0	4
Meu anjinho da guarda que se chamava Douglas, além de lindo era meu melhor amigo!	4.61975	4	positiva	4	0	0
Meu avô , me ensinando o dever de casa e tentando arrancar meu dente mole.	5.9814	5	empate	2	1	2
Meu carro que gostaria de comprar vai ter que esperar afinal não sabia que coisas para casa saiam tão caro, tudo parecia um sonho ou melhor um pesadelo.	12.872399999999999	5	negativa	0	4	1
Meu coração acelera, minhas mãos ficam geladas e meia tremulas, me dá um frio na barriga, e uma sensação estranha quando ele tá por perto, e principalmente quando estamos a sós, ou até mesmo na multidão, quando ele me abraça e diz: você está linda hoje.	39.5038	5	positiva	4	0	1
Meu coração hoje se encontra dilacerado.	2.3622	5	negativa	0	5	0
Meu coração partiu em milhões de pedaços, comecei a chorar na hora, ele pediu para eu não chorar, e falou que também é difícil para ele.	4.03175	4	negativa	0	4	0
Meu corpo tremia, mais do que o dele, fiquei de perna bamba.	4.760599999999999	5	positiva	4	0	1
Meu dia foi bom, acordei cedo, ajudei minhas mãe e meu pai a arrumarem minha festinha, busquei minhas amigas, comi muito churrasco e bolo, ficamos um tempo de boa.	6.53225	4	positiva	4	0	0
Meu fim de semana foi razoável, digamos que esperava um pouquinho mais.	4.5776	5	empate	1	2	2
Meu marido em 10 anos não consegue colocar nada pra dentro de casa as contas estão atrasadas a geladeira vazia, ele é preguiçoso!	15.606749999999998	4	negativa	0	4	0
Meu mundo, meus dramas.	3.0671666666666666	6	negativa	0	4	2
Meu namorado dormiu na minha casa.	3.921333333333333	6	neutra	1	0	5
Meu namorado e eu então nos desentendemos por telefone e eu comecei a chorar.	2.848	4	negativa	0	4	0
Meu namorado não parece ser tão mais velho do que eu não, mas isso me chateia, porque o amor não depende da idade.	6.55875	4	positiva	3	0	1
Meu niver trabalhei o dia todo, quase 20:00 e eu aqui nesta transito horrível, vou chegar em casa somente pra dormir e hoje é meu dia não aproveitei nada.	10.2576	5	negativa	0	5	0
Meu nome é Edvania Lemos, eu sou casada e tenho um filho de 12 anos de idade.	2.6086666666666667	6	neutra	0	0	6
Meu nome é Marcelo, tenho 16 anos, faço 17 agora no final do ano, sou muito legal, querido e procuro sempre ser engraçado, gosto de ver as pessoas alegres.	6.252599999999999	5	positiva	4	0	1
Meu pai me segurou pelo braço e queria me levar para tomar o remédio a essa hora eu já estava em uma crise de pânico e não conseguia parar de chorar e nem raciocinava mais.	32.2824	5	negativa	0	5	0
Meu pai preferiu minha madrasta a mim (apesar de eu já ter me acostumado com isso, tinha sido a primeira vez que ele tinha feito isso).	3.317	4	negativa	0	4	0
Meu pai, nunca foi uma figura paterna de verdade, ofuscado pela força da minha mãe.	5.76625	4	negativa	0	4	0
Meu pensamento é confuso e desorganizado. 	2.1470000000000002	4	negativa	0	4	0
Meu psicólogo me perguntou se eu queria uma segunda opinião (tanto pra ver a questão da medicação quanto pra ver se eu realmente tinha TPB-personalidade borderline) e eu concordei.	8.42825	4	empate	2	0	2
Meu tio estava voltando do Paraná de onde minha tia que me criou morava, pediu para conversar comigo um assunto muito delicado.	9.1695	6	neutra	0	1	5
Meu, eu choro as vezes sem perceber e mordo a boca pra não desabar na frente de alguma pessoa.	5.478	5	negativa	1	4	0
Meus amigos vieram aqui pra casa fazer um rodizio de pizza , bem legal , comi demais , vimos filme , e eles estão dormindo aqui em casa agora.	5.88	5	positiva	3	1	1
Meus olhos começam a se encher de lágrimas.	4.71	4	negativa	0	4	0
Meus sentidos de garota diziam que tinha alguma coisa errada, entao pedir para o lucar e o victor voltar lá comigo e tentar acordar o homem para saber se ele estava vivo.	27.844600000000003	5	neutra	1	0	4
Mexi nele, balancei ele, revirei ele e nada do homem acordar, até que quando eu vi uma garrafa perto da cabeça dele decidir pegar ela e derramar o liquido que estava dentro dela na cabeça do homem, foi ai que ele acordou.	17.057750000000002	4	neutra	1	0	3
Minha amiga Laura, a mais burra e tapada de todas começou a se cortar no meio da sala de aula.	5.023833333333333	6	negativa	0	6	0
Minha cabeça e meu coração tinham ficado tão acelerados, que eu sempre esperava ele para poder gozar.	7.2445	4	positiva	3	0	1
Minha educação depende da sua!	3.042	4	neutra	0	0	4
Minha família nunca ligou para o que acontece ou deixa de acontecer comigo.	3.964	4	negativa	0	4	0
Minha imunidade já não suporta.	2.4747500000000002	4	negativa	0	4	0
Minha insônia atingiu um nível crítico e finalmente eu resolvi ir para o psiquiatra pra ver o que ele podia fazer.	8.786999999999999	4	positiva	2	1	1
Minha irmã mais nova, não presta, eu estava ajudando ela a pagar a faculdade dela e ela nunca foi capaz de me tratar com amor e respeito; pelo contrario na frente da minha tia que me criou ela nem me cumprimentava.	8.0626	5	negativa	0	5	0
Minha irmã, não tenho nada com ela, nem existe para mim, meu irmão, tenho dó, mas ele vive bem apesar de tudo.	3.7385	4	positiva	4	0	0
Minha mãe aconselhou um dia que quando eu tivesse um grande amor eu deveria lutar por ele e foi oque eu fiz.	5.3342	5	positiva	5	0	0
Minha mãe assumiu ter preconceito com meu namorado por ele ser negro.	2.8113333333333337	6	negativa	0	6	0
Minha mãe foi mãe solteira, não tive pai.	6.0916	5	negativa	0	3	2
Minha mãe ligava falando um monte, que eu era uma irresponsável e que as coisas não poderiam ficar assim.	10.888666666666666	6	negativa	0	6	0
Minha mãe não lembrou, poucas pessoas lembraram.	5.791600000000001	5	negativa	0	4	1
Minha mãe sequer me deixa sair com ela, e leva minha irmã, e depois ela ainda reclama que é a mal amada da história.	5.661599999999999	5	negativa	0	4	1
Minha mãe só liga para pedir as coisas para mim, ela não é capaz de vir me visitar, de ser presente em minha vida, quando vem em minha casa só fica reclamando da vida para eu me comover e dar dinheiro.	11.678	4	negativa	0	3	1
Minha mãe teve uma briga daquelas comigo por causa dos horários de sono.	3.714	4	negativa	0	3	1
Minha mãe tirou uma foto minha com ele, com minha sobrinha e com nossa amiga(a que nos apresentou) que trabalha com ele, ela tem 42 anos.	6.3436	5	neutra	1	0	4
Minha mãe é muito legal, tem jeito de adolescente e cabeça de mulher.. está sempre bem humorada, quando vamos em festas ela dança, agita, contagia a todos.	4.9072499999999994	4	positiva	3	0	1
Minha vida e cheia de alegrias e tristezas mas eu amo viver minha vida.	3.40975	4	positiva	4	0	0
Minha vida é um sofrimento interno e eterno.	3.6366	5	negativa	2	3	0
Minha vontade era pegar nos seios dela, na coxa, beijar o corpo dela todo, estava bem excitado.	5.3194	5	positiva	4	0	1
Minha vó faleceu, eu não estou conseguindo lidar com essa situação.	3.1233999999999997	5	negativa	0	5	0
Minhas amigas descobriram por que me pegaram a força e tiraram meu casaco pra ver o que eu tanto escondia.	8.7205	4	negativa	0	3	1
Minhas lagrimas não param de cair, e sabe que vem na minha mente, morte.	3.9333333333333336	6	negativa	0	6	0
Moça alta, mulata, bonitona.	2.4125	6	positiva	5	0	1
Muitas garotas querem chamar a atenção dos garotos, rindo alto ou falando alto, isso é coisas de garotinhas sem atitude, e você não quer ser vista assim né?	8.1372	5	negativa	0	4	1
Muitas vezes confundido com o veterinário, o zootecnista é, na verdade, o profissional voltado para o desenvolvimento da produção.	6.0862	5	neutra	0	0	5
Muitas vezes essa pessoa feri nossos sentimentos sem sequer saber o que sentimos.	9.0744	5	negativa	0	5	0
Muitos acham que eu estou errada, e que estou falando inúmeras bobagens, ao dizer que existe um grande ódio presente em mim.	6.6145000000000005	4	negativa	0	4	0
Mãe, desculpe por eu ser quem sou, por eu ser tão e unicamente eu, por eu ser diferente, por eu ser tão errada aos olhos teus.	31.2524	5	negativa	0	4	1
Mês de setembro não teve nada de interessante , trabalhei muito como sempre e pertinho do final de ano .	5.42075	4	neutra	1	0	3
Na aula do Kairton revisamos também, porém a parte que eu mais gostei foi quando nós fomos avaliar a música.	7.069	4	positiva	3	0	1
Na aula do Ricardo nós revisamos algumas coisas do ano passado e ele passou um dever de casa, eu gostei dele, ele é engraçado!	5.3315	4	positiva	4	0	0
Na da FIEB tenho menos chances ainda.	2.8605	4	negativa	0	4	0
Na do ITB eu acho que acertei umas 35, de 50.	3.8504000000000005	5	positiva	3	0	2
Na hora do intervalo eu tava lá olhando os livros, pra ver qual que eu ia escolher, não achei nenhum interessante.	5.3215	6	neutra	0	2	4
Na hora que fui embora ele me deu um bombom, serenata de amor.	4.859999999999999	4	neutra	1	0	3
Na minha escola é cheio de rockeiros e as patricinhas que tinham lá normalmente se tornaram umas vadias!	6.0120000000000005	5	negativa	0	3	2
Na minha vida amorosa tudo é uma GRANDE merda.	2.5838	5	negativa	0	5	0
Na páscoa, lá estávamos nós, no mesmo ano, sozinhos em casa de novo.	3.7865	4	empate	0	2	2
Na realidade não é que estão seguindo a moda: eles estão sempre na moda.	4.160166666666667	6	empate	3	0	3
Na semana seguinte estava chovendo muito, acordei durante a noite assustada, a casa estava cheia de água, na altura da cama.	6.054	5	negativa	0	5	0
Na verdade acho que consegui expressar de forma clara o que eu estava sentindo.	4.6265	4	positiva	4	0	0
Na verdade eu nem queria ter acordado hoje.	3.2636000000000003	5	negativa	0	4	1
Na verdade é um milagre que eu esteja viva.	6.7182	5	neutra	0	1	4
Na vida precisamos contar com o apoio daquela pessoa que escolhemos para partilhar de todos os nossos momentos.	3.47225	4	positiva	4	0	0
Nada contra, claro, mas as pessoas deveriam se enxergar mais, pelo menos eu acho.	4.6662	5	empate	2	2	1
Namorei com um menino chamado Luan, ele é 3 meses mais novo que eu, e talvez meu erro já tenha sido começar assim, pois a mulher amadurece primeiro que o homem.	7.835	4	negativa	1	3	0
Naquela noite dormi com ela, as brigas em minha casa estavam constante, não conseguia participar de minhas aulas , estava distante de minha família, e para ajudar eu e minha mãe batemos muito de frente.	8.719399999999998	5	negativa	0	5	0
Nas outras duas vezes também foi assim, só que agora tá demais.	3.5175	4	neutra	0	1	3
Nem ao menos um beijo seu eu consegui, mas posso afirmar que não foi necessário para mim me apaixonar loucamente por ti.	29.023333333333337	6	empate	3	0	3
Nem tudo deu tão errado como tá dando agora, mas eu AINDA acredito que esse ano vai ser bom.	8.069166666666666	6	positiva	5	1	0
Nesse dia dos namorados eu pensei mesmo que iria passar com alguém!	3.732	4	neutra	1	1	2
Nesse momento estou ocupada nas tarefas que o dia me exige, sem transtornos fora de hora.	6.7662	5	neutra	1	0	4
Nesse momento eu fico sem jeito, e a timidez toma conta de mim e quando me dou conta, já estou em seus braços.	6.089166666666666	6	positiva	3	1	2
Nesse momento to evitando ela, e ta me dando um aperto, no coração, mas tenho que fazer isso, não tem como continuar, e sou muito ciumento e intolerante com esses tipos de coisas, não tem a mínima chance de eu e ela darmos certo.	15.208400000000001	5	negativa	1	3	1
Nesse terrível estado de depressão que eu me encontrava, não sabia mais o que fazer de tanto desespero, eu sentia uma dor inconsolável, doía muito, mais que tudo, ou quase tudo.	3.9605	6	negativa	0	6	0
Neste momento senti minha vida acabar, meu coração estava partido em bilhões de pedaços, tudo que conquistei pedir, tudo que já fui não era mais, as lagrimas escorriam do meu rosto.	78.1686	5	negativa	0	5	0
Ninguém acredita, e alguns até riem, quando eu digo que meu cachorro foi tudo e nada para mim, e que me salvou do suicídio, mas acho que lendo esse texto, alguns entenderiam.	9.1732	5	positiva	3	1	1
Ninguém merece ficar se humilhando, chorando, em fim, sofrendo por uma pessoa que não dá valor ou não quer receber seus SENTIMENTOS.	6.630000000000001	4	negativa	1	3	0
Ninguém nunca se importou comigo.	1.9095	4	negativa	0	4	0
Ninguém quando ama de verdade consegue esquecer este sentimento que é acima de tudo, este sentimento é o amor de verdade.	5.984166666666667	6	positiva	6	0	0
Ninguém, nem meus pais nem meus irmãos ia saber porque estava chorando, nunca.	6.227	4	neutra	1	0	3
No armário sobrou uma coisa e não sei se é sua.	4.3107500000000005	4	positiva	4	0	0
No banheiro as suas gavetas estão vazias.	2.479	4	neutra	0	0	4
No caminho da casa dessa garota encontramos um senhor deitado no chão como se estivesse morto ou desmaiado, o estranho era que o homem estava com os olhos meio aberto e virado para cima.	8.1925	6	neutra	0	2	4
No decorrer dos anos, encontramos vários tipos de anjos.	14.0405	4	negativa	0	4	0
No dia do aniversário dele eu vi ele escondendo drogas dentro do meu quarto , e eu fui lá e contei pra minha mãe.	6.476166666666667	6	negativa	0	6	0
No dia estabelecido, à frente da tenda do feiticeiro, os dois esperavam com as aves dentro de um saco.	7.002800000000001	5	neutra	0	1	4
No entanto, estar sozinho é absolutamente o oposto de estar com alguém.	6.131833333333333	6	neutra	1	2	3
No fim , nos despedimos , e nos olhamos como se nossos olhos trocassem um  eu te amo  e sinto que foi isso mesmo !	17.8852	5	positiva	4	0	1
No final das contas, ela acabou indo dormir com o meu pai, e minha mãe na cama dela (da minha irmã).	9.8975	4	positiva	2	1	1
No horário do almoço, ele me liga e fala que esta com o maior tesão, nossa meu corpo esquenta, como dispara-se algo em mim no som da voz dele,	28.0914	5	positiva	5	0	0
No jeito que eu te trato, em como eu me preocupo contigo.	7.5458	5	positiva	3	0	2
No meu computador tenho inúmeras fotos suas.	3.6801666666666666	6	neutra	1	0	5
No primeiro horário Ricardo, com matemática e geometria , ja no segundo Kairton com gramática, interpretação e redação.	3.84125	4	neutra	0	0	4
No sábado, dia 28 de julho, foi um sábado maravilhoso.	6.606400000000001	5	positiva	5	0	0
No ultimo aparelho ele ficou do meu lado e eu disse que tava cansada, aí ele disse: Se você quiser pode ficar ai, até 10 da noite, que a gente fecha a academia.	7.6148	5	neutra	1	1	3
Nos beijamos mais e ele me levou até a esquina do meu condomínio.	3.3838	5	positiva	3	1	1
Nos dias de chuva ou quando tinha pesadelo , ir correndo pra cama dos meus pais , ou dormir do lado da cama dele e fazer meu pai dormir a noite toda com a mão em cima de mim , se não não conseguia dormir .	10.042499999999999	6	empate	2	2	2
Nossa como você esta magra, bonita. Vamos sair para comprar calças, sempre faço isso com sua irmã, acho que podemos fazer.	13.325999999999999	4	positiva	3	0	1
